,Player,Cluster,Role,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,USG%
175,Delon Wright,10,Floor general,8.7,3.5,3.3,1.2,0.4,0.434,0.298,0.7929999999999999,18.1
176,Kyle Korver,1,3&D guard,8.6,2.3,1.2,0.4,0.2,0.41600000000000004,0.397,0.8220000000000001,18.5
177,Norman Powell,1,3&D guard,8.6,2.3,1.5,0.7,0.2,0.483,0.4,0.8270000000000001,19.0
178,Rodions Kurucs,12,3&D forward,8.5,3.9,0.8,0.7,0.4,0.45,0.315,0.7829999999999999,18.4
179,Trey Lyles,4,???,8.5,3.8,1.4,0.5,0.4,0.418,0.255,0.698,23.4
180,DeAndre' Bembry,4,???,8.4,4.4,2.5,1.3,0.5,0.446,0.289,0.64,17.2
181,Langston Galloway,1,3&D guard,8.4,2.1,1.1,0.5,0.1,0.38799999999999996,0.355,0.8440000000000001,16.1
182,Noah Vonleh,12,3&D forward,8.4,7.8,1.9,0.7,0.8,0.47,0.336,0.7120000000000001,14.8
183,Mikal Bridges,12,3&D forward,8.3,3.2,2.1,1.6,0.5,0.43,0.335,0.805,12.2
184,Richaun Holmes,3,Rim runner,8.2,4.7,0.9,0.6,1.1,0.608,0.0,0.731,17.9
185,Darius Miller,1,3&D guard,8.2,1.9,2.1,0.6,0.3,0.39,0.365,0.789,13.4
186,Frank Jackson,4,???,8.1,2.2,1.1,0.4,0.0,0.434,0.314,0.74,18.5
187,Austin Rivers,4,???,8.1,2.1,2.2,0.6,0.3,0.406,0.318,0.526,14.5
188,Davis Bertans,1,3&D guard,8.0,3.5,1.3,0.5,0.4,0.45,0.429,0.883,14.1
189,Jamal Crawford,4,???,7.9,1.3,3.6,0.5,0.2,0.397,0.332,0.845,20.8
190,Seth Curry,1,3&D guard,7.9,1.6,0.9,0.5,0.2,0.456,0.45,0.846,16.6
191,Josh Hart,12,3&D forward,7.8,3.7,1.4,1.0,0.6,0.40700000000000003,0.336,0.688,13.5
192,James Johnson,4,???,7.8,3.2,2.5,0.6,0.5,0.433,0.336,0.7140000000000001,17.8
193,Mason Plumlee,3,Rim runner,7.8,6.4,3.0,0.8,0.9,0.593,0.2,0.561,16.2
194,Garrett Temple,4,???,7.8,2.9,1.4,1.0,0.4,0.42200000000000004,0.341,0.748,13.2
195,Ante Zizic,12,3&D forward,7.8,5.4,0.9,0.2,0.4,0.5529999999999999,0.0,0.705,18.2
196,Maurice Harkless,12,3&D forward,7.7,4.5,1.2,1.1,0.9,0.48700000000000004,0.275,0.6709999999999999,13.9
197,Josh Okogie,4,???,7.7,2.9,1.2,1.2,0.4,0.386,0.27899999999999997,0.728,15.4
198,Patrick Beverley,10,Floor general,7.6,5.0,3.8,0.9,0.6,0.40700000000000003,0.397,0.78,12.2
199,George Hill,1,3&D guard,7.6,2.5,2.3,0.9,0.1,0.452,0.314,0.8240000000000001,15.1
200,Jake Layman,12,3&D forward,7.6,3.1,0.7,0.4,0.4,0.509,0.326,0.7040000000000001,15.9
201,Rodney McGruder,4,???,7.6,3.6,1.7,0.5,0.2,0.40299999999999997,0.35100000000000003,0.722,15.4
202,Miles Bridges,12,3&D forward,7.5,4.0,1.2,0.7,0.6,0.46399999999999997,0.325,0.753,15.1
203,Dorian Finney-Smith,12,3&D forward,7.5,4.8,1.2,0.9,0.4,0.43200000000000005,0.311,0.7090000000000001,14.0
204,Shelvin Mack,4,???,7.5,1.8,3.2,0.8,0.1,0.40399999999999997,0.354,0.69,18.1
205,Iman Shumpert,4,???,7.5,3.0,1.8,1.0,0.4,0.374,0.348,0.8,14.5
206,Vince Carter,1,3&D guard,7.4,2.6,1.1,0.6,0.4,0.419,0.389,0.7120000000000001,16.7
207,Draymond Green,10,Floor general,7.4,7.3,6.9,1.4,1.1,0.445,0.285,0.6920000000000001,13.1
208,Doug McDermott,1,3&D guard,7.3,1.4,0.9,0.2,0.1,0.491,0.408,0.835,16.3
209,Mitchell Robinson,3,Rim runner,7.3,6.4,0.6,0.8,2.4,0.6940000000000001,0.0,0.6,12.1
210,P.J. Tucker,12,3&D forward,7.3,5.8,1.2,1.6,0.5,0.396,0.377,0.695,9.5
211,Justin Jackson,1,3&D guard,7.2,2.6,1.2,0.4,0.2,0.447,0.355,0.785,14.3
212,Lance Stephenson,4,???,7.2,3.2,2.1,0.6,0.1,0.426,0.371,0.685,20.3
213,OG Anunoby,12,3&D forward,7.0,2.9,0.7,0.7,0.3,0.45299999999999996,0.332,0.581,15.5
214,Derrick Jones,12,3&D forward,7.0,4.0,0.6,0.8,0.7,0.494,0.308,0.607,15.6
215,Mike Muscala,12,3&D forward,7.0,3.8,1.2,0.3,0.6,0.402,0.348,0.8240000000000001,14.3
216,Pat Connaughton,12,3&D forward,6.9,4.2,2.0,0.5,0.4,0.466,0.33,0.725,13.3
217,Quinn Cook,1,3&D guard,6.9,2.1,1.6,0.3,0.0,0.465,0.405,0.769,20.2
218,Terrance Ferguson,1,3&D guard,6.9,1.9,1.0,0.5,0.2,0.429,0.366,0.725,10.6
219,Stanley Johnson,4,???,6.9,3.3,1.3,0.9,0.2,0.389,0.28800000000000003,0.7809999999999999,19.4
220,Tyus Jones,4,???,6.9,2.0,4.8,1.2,0.1,0.415,0.317,0.841,14.1
221,Wayne Selden,4,???,6.9,2.4,1.5,0.4,0.2,0.406,0.316,0.728,18.4
222,Ersan Ilyasova,12,3&D forward,6.8,4.5,0.8,0.5,0.3,0.43799999999999994,0.363,0.8240000000000001,15.7
223,Maxi Kleber,12,3&D forward,6.8,4.6,1.0,0.5,1.1,0.45299999999999996,0.353,0.784,13.5
224,Evan Turner,4,???,6.8,4.5,3.9,0.5,0.2,0.46,0.212,0.708,15.9
225,Ryan Arcidiacono,1,3&D guard,6.7,2.7,3.3,0.8,0.0,0.447,0.373,0.873,11.7
226,James Ennis,12,3&D forward,6.7,3.1,0.7,0.7,0.4,0.469,0.353,0.716,12.7
227,Michael Kidd-Gilchrist,12,3&D forward,6.7,3.8,1.0,0.5,0.6,0.47600000000000003,0.34,0.772,15.7
228,Zach Collins,12,3&D forward,6.6,4.2,0.9,0.3,0.9,0.473,0.331,0.746,16.6
229,Shaquille Harrison,4,???,6.5,3.0,1.9,1.2,0.4,0.43200000000000005,0.27,0.667,16.5
230,Cory Joseph,4,???,6.5,3.4,3.9,1.1,0.3,0.41200000000000003,0.322,0.698,13.7
231,Jonathon Simmons,4,???,6.5,2.3,2.3,0.5,0.3,0.38,0.26899999999999996,0.742,18.7
232,Sterling Brown,12,3&D forward,6.4,3.2,1.4,0.4,0.1,0.465,0.361,0.69,15.2
233,Gorgui Dieng,12,3&D forward,6.4,4.1,0.9,0.6,0.5,0.501,0.33899999999999997,0.83,19.6
234,T.J. McConnell,4,???,6.4,2.3,3.4,1.0,0.2,0.525,0.33299999999999996,0.784,15.0
235,Devin Harris,4,???,6.3,1.6,1.8,0.5,0.2,0.38,0.31,0.7609999999999999,18.5
236,Jonas Jerebko,12,3&D forward,6.3,3.9,1.3,0.4,0.2,0.45899999999999996,0.36700000000000005,0.8,15.2
237,Kevon Looney,3,Rim runner,6.3,5.2,1.5,0.6,0.7,0.625,0.1,0.619,12.8
238,Wilson Chandler,12,3&D forward,6.0,4.2,1.6,0.5,0.4,0.418,0.373,0.72,11.8
239,Tony Snell,1,3&D guard,6.0,2.1,0.9,0.4,0.2,0.452,0.397,0.8809999999999999,12.9
240,Yogi Ferrell,1,3&D guard,5.9,1.5,1.9,0.5,0.1,0.435,0.36200000000000004,0.8959999999999999,16.3
241,Nik Stauskas,1,3&D guard,5.9,1.9,1.2,0.3,0.1,0.402,0.37200000000000005,0.8909999999999999,17.6
242,Ed Davis,3,Rim runner,5.8,8.6,0.8,0.4,0.4,0.616,0.0,0.617,12.7
243,Juan Hernangomez,12,3&D forward,5.8,3.8,0.8,0.4,0.3,0.439,0.365,0.767,12.2
244,Mike Scott,1,3&D guard,5.8,3.5,0.8,0.3,0.2,0.4,0.401,0.667,14.4
245,Torrey Craig,12,3&D forward,5.7,3.5,1.0,0.5,0.6,0.442,0.324,0.7,12.4
246,Andre Iguodala,12,3&D forward,5.7,3.7,3.2,0.9,0.8,0.5,0.33299999999999996,0.5820000000000001,10.4
247,Jakob Poeltl,3,Rim runner,5.5,5.3,1.2,0.4,0.9,0.645,0.0,0.5329999999999999,13.1
248,Tim Frazier,4,???,5.3,2.8,4.2,0.5,0.1,0.444,0.366,0.759,13.3
249,Royce O'Neale,12,3&D forward,5.2,3.5,1.5,0.7,0.3,0.475,0.386,0.762,11.0
250,Wesley Iwundu,4,???,5.0,2.7,1.1,0.4,0.3,0.41200000000000003,0.36700000000000005,0.816,12.8
251,Anthony Tolliver,1,3&D guard,5.0,2.7,0.7,0.3,0.3,0.382,0.377,0.7829999999999999,12.5
252,Jared Dudley,12,3&D forward,4.9,2.6,1.4,0.6,0.3,0.423,0.35100000000000003,0.696,10.4
253,Nerlens Noel,3,Rim runner,4.9,4.2,0.6,0.9,1.2,0.5870000000000001,0.0,0.684,13.8
254,Alfonzo McKinnie,12,3&D forward,4.7,3.4,0.4,0.3,0.2,0.48700000000000004,0.35600000000000004,0.563,13.9
255,Bruce Brown,4,???,4.3,2.5,1.2,0.5,0.5,0.39799999999999996,0.258,0.75,11.5
